110.56.0.0   北京市 铁通
110.64.0.0   广东省广州市 广东食品药品职业学院
110.64.24.0   广东省江门市 江门职业技术学院
110.64.28.0   广东省广州市 海钛信息
110.64.29.0   广东省广州市 恒汇网络
110.64.30.0   广东省广州市 广州华立科技职业学院
110.64.32.0   广东省广州市 广东女子职业技术学院
110.64.48.0   广东省广州市 民办南华工商学院
110.64.64.0   广东省广州市 华南理工大学大学城校区
110.64.96.0   广东省广州市 广东交通职业技术学院
110.64.128.0   广东省广州市 广东农工商职业技术学院
110.64.144.0   广东省广州市 珠江数码
110.64.148.0   广东省珠海市 城市职业技术学院
110.64.150.0   广东省广州市 盈信信息
110.64.151.0   广东省广州市 科技贸易职业学院
110.64.152.0   广东省惠州市 惠州城市职业学院
110.64.153.0   江苏省南京市 华慧软件
110.64.154.0   广东省广州市 教育网
110.64.160.0   广东省广州市 华南师范大学
110.64.176.0   广东省东莞市 职业技术学院
110.64.200.0   广东省广州市 广州大学华软软件学院
110.64.204.0   广东省东莞市 东莞南博职业技术学院
110.64.206.0   广东省佛山市 南海东软信息技术学院
110.64.207.0   广东省广州市 广州市交通高级技工学校
110.64.208.0   广东省广州市 广东农工商职业技术学院
110.64.224.0   广东省广州市 暨南大学
110.65.0.0   广东省广州市 华南理工大学大学城校区
110.65.64.0   广东省广州市 暨南大学
110.65.128.0   广东省深圳市 龙岗区南湾学校
110.65.132.0   广东省深圳市 龙岗区五园小学
110.65.133.0   广东省深圳市 清林小学
110.65.134.0   广东省深圳市 龙岗区龙园意境小学
110.65.136.0   广东省深圳市 龙岗区中小学社会实践基地
110.65.138.0   广东省深圳市 光明新区公共事业局教育科
110.65.139.0   广东省深圳市 招商银行
110.65.140.0   广东省深圳市 明宣科技
110.65.144.0   广东省深圳市 龙岗区阳光小学
110.65.146.0   广东省深圳市 天威视讯
110.65.147.0   广东省深圳市 南方科技大学
110.65.148.0   广东省深圳市 第二外国语学校
110.65.152.0   广东省深圳市 赛尔网络深圳分公司
110.65.156.0   广东省深圳市 光明新区公共事业局
110.65.157.0   广东省广州市 教育网
110.65.192.0   广东省广州市 暨南大学
110.65.224.0   广东省广州市 教育网
110.65.240.0   海南省三亚市 琼州学院
110.66.0.0   日本 
