58.14.0.0   山东省济南市 广电网
58.16.0.0   贵州省贵阳市 联通
58.16.106.0   贵州省安顺市 联通
58.16.108.0   贵州省黔南州 联通
58.16.128.0   贵州省安顺市 联通
58.16.129.0   贵州省贵阳市 联通
58.16.136.0   贵州省安顺市 联通
58.16.139.0   贵州省贵阳市 联通
58.16.144.0   贵州省黔东南州 联通
58.16.160.0   贵州省黔西南州 联通
58.16.176.0   贵州省毕节市 联通
58.16.193.0   贵州省铜仁市 联通
58.16.200.0   贵州省遵义市 联通
58.16.201.0   贵州省铜仁市 联通
58.16.208.0   贵州省六盘水市 联通
58.16.240.0   贵州省贵阳市 联通
58.17.0.0   江西省南昌市 联通
58.17.30.0   江西省九江市 联通
58.17.32.0   江西省南昌市 联通
58.17.48.0   江西省景德镇市 联通
58.17.56.0   江西省萍乡市 联通
58.17.72.0   江西省宜春市 联通
58.17.80.0   江西省吉安市 联通
58.17.84.0   江西省九江市 联通
58.17.86.0   江西省 联通
58.17.88.0   江西省鹰潭市 联通
58.17.96.0   江西省抚州市 联通
58.17.104.0   江西省上饶市 联通
58.17.112.0   江西省赣州市 联通
58.17.120.0   江西省九江市 联通
58.17.128.0   重庆市 联通
58.18.0.0   内蒙古自治区兴安盟 联通
58.18.16.0   内蒙古自治区包头市 联通
58.18.32.0   内蒙古自治区鄂尔多斯市 联通
58.18.48.0   内蒙古自治区巴彦淖尔市 联通
58.18.64.0   内蒙古自治区乌海市 联通
58.18.80.0   内蒙古自治区阿拉善盟 联通
58.18.96.0   内蒙古自治区乌兰察布市 联通
58.18.112.0   内蒙古自治区锡林郭勒盟 联通
58.18.128.0   内蒙古自治区赤峰市 联通
58.18.144.0   内蒙古自治区通辽市 联通
58.18.160.0   内蒙古自治区呼和浩特市 联通
58.18.176.0   内蒙古自治区呼伦贝尔市 联通
58.18.196.0   内蒙古自治区通辽市 联通
58.18.220.0   内蒙古自治区呼伦贝尔市 联通
58.18.248.0   内蒙古自治区鄂尔多斯市 联通
58.19.0.0   湖北省武汉市 联通
58.19.136.0   湖北省襄阳市 联通
58.19.137.0   湖北省武汉市 联通
58.19.140.0   湖北省黄石市 联通
58.19.144.0   湖北省宜昌市 联通
58.19.148.0   湖北省黄石市 联通
58.19.152.0   湖北省荆州市 联通
58.19.156.0   湖北省武汉市 联通
58.19.160.0   湖北省荆门市 联通
58.19.164.0   湖北省潜江市 联通
58.19.166.0   湖北省天门市 联通
58.19.168.0   湖北省随州市 联通
58.19.172.0   湖北省恩施州 联通
58.19.176.0   湖北省宜昌市 联通
58.19.180.0   湖北省襄阳市 联通
58.19.184.0   湖北省黄石市 联通
58.19.188.0   湖北省荆州市 联通
58.19.196.0   湖北省十堰市 联通
58.19.200.0   湖北省荆门市 联通
58.19.204.0   湖北省鄂州市 联通
58.19.208.0   湖北省黄冈市 联通
58.19.212.0   湖北省孝感市 联通
58.19.216.0   湖北省天门市 联通
58.19.220.0   湖北省咸宁市 联通
58.19.224.0   湖北省荆州市 联通
58.19.232.0   湖北省襄阳市 联通
58.19.240.0   湖北省宜昌市 联通
58.19.248.0   湖北省黄石市 联通
58.20.0.0   湖南省长沙市 联通
58.20.128.0   湖南省岳阳市 联通
58.20.160.0   湖南省衡阳市 联通
58.20.192.0   湖南省株洲市 联通
58.20.224.0   湖南省湘潭市 联通
58.20.240.0   湖南省益阳市 联通
58.20.248.0   湖南省郴州市 联通
58.21.0.0   吉林省长春市 联通
58.21.128.0   吉林省辽源市 联通
58.21.160.0   吉林省白山市 联通
58.21.168.0   吉林省白城市 联通
58.21.176.0   吉林省白山市 联通
58.21.192.0   吉林省白城市 联通
58.22.0.0   福建省福州市 联通
58.22.128.0   福建省莆田市 联通
58.22.160.0   福建省宁德市 联通
58.22.176.0   福建省南平市 联通
58.22.192.0   福建省三明市 联通
58.22.224.0   福建省龙岩市 联通
58.23.0.0   福建省厦门市 联通
58.23.64.0   福建省泉州市 联通
58.23.96.0   福建省漳州市 联通
58.23.128.0   福建省厦门市 联通
58.23.135.0   福建省福州市 联通
58.23.136.0   福建省厦门市 联通
58.23.144.0   福建省泉州市 联通
58.23.160.0   福建省漳州市 联通
58.23.192.0   福建省泉州市 联通
58.23.224.0   福建省厦门市 联通
58.24.0.0   上海市 东方有线
58.26.0.0   马来西亚 
