58.192.0.0   江苏省连云港市 淮海工学院
58.192.32.0   江苏省南京市 南京大学
58.192.56.0   江苏省淮安市 江苏食品职业技术学院
58.192.64.0   江苏省扬州市 扬州工业职业技术学院
58.192.68.0   江苏省南京市 北京联宇益通科技发展有限公司(南京)
58.192.69.0   江苏省南京市 普阑尼信息
58.192.70.0   江苏省南京市 教育网
58.192.72.0   江苏省南京市 江苏经贸职业技术学院
58.192.80.0   江苏省扬州市 扬州大学
58.192.96.0   江苏省泰州市 南京师范大学泰州学院
58.192.112.0   江苏省南京市 东南大学
58.192.128.0   江苏省扬州市 扬州大学
58.192.144.0   江苏省南京市 南京森林公安高等专科学校
58.192.152.0   江苏省南京市 钟山学院
58.192.160.0   江苏省盐城市 明达职业技术学院
58.192.176.0   江苏省苏州市 苏州工业职业技术学院
58.192.192.0   江苏省扬州市 扬州环境资源职业技术学院
58.192.208.0   江苏省苏州市 硅湖职业技术学院
58.192.216.0   江苏省苏州市 健雄职业技术学院
58.192.224.0   江苏省徐州市 九州职业技术学院
58.192.232.0   江苏省扬州市 江海职业技术学院
58.192.240.0   江苏省徐州市 徐州工业职业技术学院
58.192.248.0   江苏省南京市 南京交通职业技术学院
58.193.0.0   江苏省常州市 常州信息职业技术学院
58.193.16.0   江苏省常州市 常州机电职业技术学院
58.193.32.0   江苏省南京市 江苏海事职业技术学院
58.193.40.0   江苏省南京市 南京政治学院
58.193.48.0   江苏省盐城市 盐城卫生职业技术学院
58.193.56.0   江苏省淮安市 炎黄职业技术学院
58.193.64.0   江苏省苏州市 苏州农业职业技术学院
58.193.76.0   江苏省南京市 江苏省高校招生就业指导服务中心
58.193.80.0   江苏省无锡市 无锡工艺职业技术学院
58.193.88.0   江苏省南通市 南通理工学院
58.193.96.0   江苏省常州市 常州工程职业技术学院
58.193.112.0   江苏省无锡市 无锡商业职业技术学院
58.193.120.0   江苏省无锡市 无锡南洋职业技术学院
58.193.128.0   江苏省南京市 江苏警官学院
58.193.144.0   江苏省常州市 常州工学院
58.193.152.0   江苏省南京市 解放军理工大学
58.193.160.0   江苏省南通市 南通大学
58.193.176.0   江苏省南京市 南京医科大学
58.193.192.0   江苏省泰州市 南京理工大学泰州科技学院
58.193.208.0   江苏省南京市 江苏职工医科大学
58.193.216.0   江苏省南京市 教育网
58.193.224.0   江苏省南京市 南京大学
