60.160.0.0   云南省昭通市 电信
60.160.32.0   云南省大理州 电信
60.160.128.0   云南省玉溪市 电信
60.160.192.0   云南省大理州 电信
60.160.224.0   云南省文山州 电信
60.161.0.0   云南省红河州 电信
60.161.64.0   云南省曲靖市 电信
60.161.128.0   云南省临沧市 电信
60.161.192.0   云南省丽江市 电信
60.162.0.0   浙江省台州市 电信
60.163.0.0   浙江省嘉兴市 电信
60.164.0.0   甘肃省兰州市 电信
60.164.48.0   甘肃省武威市 电信
60.164.52.0   甘肃省酒泉市 电信
60.164.56.0   甘肃省张掖市 电信
60.164.64.0   甘肃省平凉市 电信
60.164.79.0   甘肃省白银市 电信
60.164.80.0   甘肃省天水市 电信
60.164.84.0   甘肃省甘南州 电信
60.164.85.0   甘肃省天水市 电信
60.164.87.0   甘肃省定西市 电信
60.164.89.0   甘肃省天水市 电信
60.164.90.0   甘肃省临夏州 电信
60.164.91.0   甘肃省天水市 电信
60.164.92.0   甘肃省甘南州 电信
60.164.93.0   甘肃省天水市 电信
60.164.94.0   甘肃省庆阳市 电信
60.164.95.0   甘肃省天水市 电信
60.164.96.0   甘肃省庆阳市 电信
60.164.100.0   甘肃省天水市 电信
60.164.104.0   甘肃省庆阳市 电信
60.164.105.0   甘肃省甘南州 电信
60.164.106.0   甘肃省庆阳市 电信
60.164.107.128   甘肃省定西市 电信
60.164.108.0   甘肃省庆阳市 电信
60.164.112.0   甘肃省张掖市 电信
60.164.128.0   甘肃省武威市 电信
60.164.144.0   甘肃省金昌市 电信
60.164.160.0   甘肃省酒泉市 电信
60.164.176.0   甘肃省嘉峪关市 电信
60.164.192.0   甘肃省平凉市 电信
60.164.200.0   甘肃省陇南市 电信
60.164.208.0   甘肃省定西市 电信
60.164.212.0   甘肃省甘南州 电信
60.164.216.0   甘肃省临夏州 电信
60.164.220.0   甘肃省兰州市 电信
60.164.221.0   甘肃省白银市 电信
60.164.222.0   甘肃省兰州市 电信
60.164.224.0   甘肃省 电信
60.164.230.0   甘肃省陇南市 电信
60.164.232.0   甘肃省兰州市 电信
60.164.240.0   甘肃省临夏州 电信
60.164.248.0   甘肃省兰州市 电信
60.165.80.0   甘肃省酒泉市 电信
60.165.96.0   甘肃省庆阳市 电信
60.165.112.0   甘肃省酒泉市 电信
60.165.128.0   甘肃省白银市 电信
60.165.144.0   甘肃省 电信
60.165.160.0   甘肃省酒泉市 电信
60.165.176.0   甘肃省嘉峪关市 电信
60.165.192.0   甘肃省酒泉市 电信
60.165.200.0   甘肃省陇南市 电信
60.165.208.0   甘肃省酒泉市 电信
60.165.209.0   甘肃省定西市 电信
60.165.215.0   甘肃省平凉市 电信
60.165.216.0   甘肃省临夏州 电信
60.165.220.0   甘肃省平凉市 电信
60.165.224.0   甘肃省武威市 电信
60.165.228.0   甘肃省平凉市 电信
60.165.232.0   甘肃省庆阳市 电信
