61.128.0.0   中国 电信骨干网
61.128.95.0   新疆自治区乌鲁木齐市 电信
61.128.128.0   重庆市 电信
61.129.0.0   上海市 电信
61.130.0.0   浙江省杭州市 电信
61.130.12.0   浙江省宁波市 电信
61.130.22.0   浙江省温州市 电信
61.130.24.0   浙江省金华市 电信
61.130.44.0   浙江省宁波市 电信
61.130.45.0   浙江省湖州市 电信
61.130.48.0   浙江省衢州市 电信
61.130.80.0   浙江省宁波市 电信
61.130.88.0   浙江省湖州市 电信
61.130.96.0   浙江省宁波市 电信
61.130.118.0   浙江省温州市 电信
61.130.120.0   浙江省杭州市 电信
61.130.136.0   浙江省宁波市 电信
61.130.144.0   浙江省金华市 电信
61.130.160.0   浙江省嘉兴市 电信
61.130.164.0   浙江省杭州市 电信
61.130.168.0   浙江省湖州市 电信
61.130.172.0   浙江省衢州市 电信
61.130.176.0   浙江省丽水市 电信
61.130.180.0   浙江省杭州市 电信
61.130.184.0   浙江省宁波市 电信
61.130.188.0   浙江省杭州市 电信
61.130.190.0   浙江省嘉兴市 电信
61.130.192.0   浙江省湖州市 电信
61.131.0.0   福建省福州市 电信
61.131.24.0   福建省宁德市 电信
61.131.28.0   福建省莆田市 电信
61.131.32.0   福建省龙岩市 电信
61.131.35.0   福建省三明市 电信
61.131.40.0   福建省南平市 电信
61.131.43.0   福建省漳州市 电信
61.131.46.0   福建省泉州市 电信
61.131.62.0   福建省泉州市 华侨大学成教学院
61.131.62.8   福建省泉州市 电信
61.131.63.32   福建省泉州市 梅山实验学院
61.131.63.40   福建省泉州市 电信
61.131.63.248   福建省泉州市 惠安县第五中学
61.131.64.0   福建省厦门市 电信
61.131.80.0   福建省福州市 电信
61.131.100.0   福建省三明市 电信
61.131.102.0   福建省南平市 电信
61.131.104.0   福建省泉州市 电信
61.131.116.0   福建省宁德市 电信
61.131.120.0   福建省莆田市 电信
61.131.121.0   福建省龙岩市 电信
61.131.122.0   福建省厦门市 电信
61.131.128.0   江西省南昌市 电信
61.131.140.0   江西省上饶市 电信
61.131.145.0   江西省宜春市 电信
61.131.150.0   江西省抚州市 电信
61.131.155.0   江西省吉安市 电信
61.131.160.0   江西省九江市 电信
61.131.168.0   江西省赣州市 电信
61.131.176.0   江西省鹰潭市 电信
61.131.180.0   江西省新余市 电信
61.131.184.0   江西省萍乡市 电信
61.131.188.0   江西省景德镇市 电信
61.131.192.0   江西省南昌市 电信
61.131.225.0   江西省景德镇市 电信
61.131.230.0   江西省赣州市 电信
61.131.236.0   江西省新余市 电信
61.131.239.0   江西省萍乡市 电信
61.131.244.0   江西省上饶市 电信
61.131.248.0   江西省南昌市 电信
61.131.249.0   江西省 电信
61.131.249.32   江西省新余市 电信
61.131.249.64   江西省 电信
61.131.249.128   江西省九江市 电信
61.131.251.0   江西省鹰潭市 电信
61.131.252.0   江西省宜春市 电信
61.131.253.0   江西省南昌市 电信
61.131.253.128   江西省抚州市 电信
61.131.254.0   江西省南昌市 电信
61.131.255.0   江西省景德镇市 电信
61.132.0.0   江苏省连云港市 电信
61.132.8.0   江苏省淮安市 电信
61.132.11.0   江苏省常州市 电信
61.132.12.0   江苏省盐城市 电信
61.132.15.0   江苏省常州市 电信
61.132.16.0   江苏省徐州市 电信
61.132.20.0   江苏省南京市 电信
61.132.24.0   江苏省镇江市 电信
61.132.32.0   江苏省扬州市 电信
61.132.40.0   江苏省泰州市 电信
61.132.48.0   江苏省南京市 电信
61.132.80.0   江苏省无锡市 电信
61.132.88.0   江苏省常州市 电信
61.132.112.0   江苏省苏州市 电信
61.132.128.0   安徽省合肥市 电信
61.132.140.0   安徽省蚌埠市 电信
61.132.141.0   安徽省宿州市 电信
61.132.142.0   安徽省马鞍山市 电信
61.132.143.0   安徽省铜陵市 电信
61.132.144.0   安徽省合肥市 电信
61.132.155.0   安徽省滁州市 电信
61.132.156.0   安徽省安庆市 电信
61.132.158.0   安徽省芜湖市 电信
61.132.159.0   安徽省阜阳市 电信
61.132.160.0   安徽省合肥市 电信
61.132.166.0   安徽省阜阳市 电信
61.132.168.0   安徽省合肥市 电信
61.132.170.0   安徽省铜陵市 电信
61.132.172.0   安徽省合肥市 电信
61.132.174.0   安徽省六安市 电信
61.132.178.0   安徽省马鞍山市 电信
61.132.179.0   安徽省淮北市 电信
61.132.180.0   安徽省合肥市 电信
61.132.181.0   安徽省宿州市 电信
61.132.182.0   安徽省滁州市 电信
61.132.183.0   安徽省宣城市 电信
61.132.184.0   安徽省安庆市 电信
61.132.185.0   安徽省六安市 电信
61.132.186.0   安徽省亳州市 电信
61.132.187.0   安徽省蚌埠市 电信
61.132.188.0   安徽省合肥市 电信
61.132.190.0   安徽省淮南市 电信
61.132.190.44   安徽省合肥市 电信
