61.240.0.0   天津市 联通
61.240.32.0   山西省太原市 联通
61.240.64.0   山东省德州市 联通
61.240.70.0   山东省泰安市 联通
61.240.76.0   山东省临沂市 联通
61.240.83.0   山东省枣庄市 联通
61.240.88.0   山东省聊城市 联通
61.240.94.0   山东省菏泽市 联通
61.240.99.0   山东省日照市 联通
61.240.104.0   山东省滨州市 联通
61.240.109.0   山东省济南市 联通
61.240.112.0   山东省青岛市 联通
61.240.115.0   山东省潍坊市 联通
61.240.116.0   山东省济南市 联通
61.240.117.0   山东省淄博市 联通
61.240.118.0   山东省烟台市 联通
61.240.119.0   山东省威海市 联通
61.240.121.0   山东省潍坊市 联通
61.240.125.0   山东省济南市 联通
61.240.128.0   河北省石家庄市 联通
61.240.160.0   内蒙古自治区赤峰市 联通
61.240.163.0   内蒙古自治区通辽市 联通
61.240.164.0   内蒙古自治区呼伦贝尔市 联通
61.240.166.0   内蒙古自治区鄂尔多斯市 联通
61.240.168.0   内蒙古自治区乌兰察布市 联通
61.240.170.0   内蒙古自治区巴彦淖尔市 联通
61.240.172.0   内蒙古自治区呼和浩特市 联通
61.240.173.0   内蒙古自治区通辽市 联通
61.240.174.0   内蒙古自治区兴安盟 联通
61.240.176.0   内蒙古自治区赤峰市 联通
61.240.177.0   内蒙古自治区包头市 联通
61.240.178.0   内蒙古自治区呼和浩特市 联通
61.240.180.0   内蒙古自治区巴彦淖尔市 联通
61.240.181.0   内蒙古自治区呼伦贝尔市 联通
61.240.182.0   内蒙古自治区包头市 联通
61.240.186.0   内蒙古自治区呼和浩特市 联通
61.240.187.0   内蒙古自治区包头市 联通
61.240.189.0   内蒙古自治区通辽市 联通
61.240.190.0   内蒙古自治区乌兰察布市 联通
61.240.191.0   内蒙古自治区 联通
61.240.192.0   上海市 联通
61.240.224.0   广西自治区贵港市 联通
61.240.225.0   广西自治区玉林市 联通
61.240.226.0   广西自治区贺州市 联通
61.240.228.0   广西自治区南宁市 联通
61.240.231.0   广西自治区玉林市 联通
61.240.232.0   湖南省衡阳市 联通
61.240.233.0   湖南省长沙市 联通
61.240.235.0   湖南省邵阳市 联通
61.240.240.0   海南省海口市 联通
61.240.248.0   北京市 联通
61.241.0.0   江苏省南京市 联通
61.241.12.0   江苏省扬州市 联通
61.241.13.0   江苏省南京市 联通
61.241.14.0   江苏省扬州市 联通
61.241.16.0   江苏省常州市 联通
61.241.22.0   江苏省南京市 联通
61.241.23.0   江苏省镇江市 联通
61.241.24.0   江苏省徐州市 联通
61.241.27.0   江苏省无锡市 联通
61.241.32.0   江苏省苏州市 联通
61.241.37.0   江苏省无锡市 联通
61.241.46.0   江苏省 联通
61.241.47.0   江苏省泰州市 联通
61.241.53.0   江苏省南通市 联通
61.241.59.0   江苏省徐州市 联通
61.241.64.0   浙江省杭州市 联通
61.241.96.0   浙江省嘉兴市 联通
61.241.104.0   浙江省湖州市 联通
61.241.105.0   浙江省绍兴市 联通
61.241.108.0   浙江省金华市 联通
61.241.115.0   浙江省衢州市 联通
61.241.118.0   浙江省丽水市 联通
61.241.121.0   浙江省 联通
61.241.122.0   浙江省台州市 联通
61.241.126.0   浙江省宁波市 联通
61.241.128.0   安徽省合肥市 联通
61.241.132.0   安徽省淮南市 联通
61.241.134.0   安徽省巢湖市 联通
61.241.136.0   安徽省六安市 联通
61.241.138.0   安徽省蚌埠市 联通
61.241.139.0   安徽省阜阳市 联通
61.241.142.0   安徽省滁州市 联通
61.241.144.0   安徽省淮北市 联通
61.241.146.0   安徽省宿州市 联通
61.241.148.0   安徽省芜湖市 联通
61.241.149.0   安徽省马鞍山市 联通
61.241.152.0   安徽省宣城市 联通
61.241.153.0   安徽省蚌埠市 联通
61.241.154.0   安徽省铜陵市 联通
61.241.156.0   安徽省池州市 联通
61.241.158.0   安徽省黄山市 联通
61.241.159.0   安徽省合肥市 联通
61.241.160.0   甘肃省兰州市 联通
61.241.162.0   甘肃省武威市 联通
61.241.163.0   甘肃省庆阳市 联通
61.241.164.0   甘肃省白银市 联通
61.241.165.0   甘肃省定西市 联通
61.241.166.0   甘肃省兰州市 联通
61.241.167.0   甘肃省平凉市 联通
61.241.168.0   甘肃省天水市 联通
61.241.170.0   甘肃省兰州市 联通
61.241.172.0   甘肃省酒泉市 联通
61.241.174.0   甘肃省兰州市 联通
61.241.175.0   甘肃省陇南市 联通
61.241.176.0   广西自治区钦州市 联通
61.241.178.0   广西自治区桂林市 联通
61.241.180.0   广西自治区防城港市 联通
61.241.184.0   广西自治区河池市 联通
61.241.192.0   福建省福州市 联通
61.241.224.0   湖南省长沙市 联通
61.241.228.0   湖南省湘潭市 联通
61.241.231.0   湖南省益阳市 联通
61.241.234.0   湖南省郴州市 联通
61.241.237.0   湖南省邵阳市 联通
61.241.240.0   湖南省娄底市 联通
61.241.243.0   湖南省张家界市 联通
61.241.246.0   湖南省怀化市 联通
61.241.249.0   湖南省吉首市 联通
61.241.250.0   湖南省湘西州 联通
61.241.251.0   湖南省张家界市 联通
61.241.252.0   湖南省永州市 联通
61.242.0.0   广东省广州市 联通
61.242.4.0   广东省江门市 联通
61.242.5.0   广东省 联通
61.242.12.0   广东省肇庆市 联通
61.242.14.0   广东省茂名市 联通
61.242.16.0   广东省湛江市 联通
61.242.19.0   广东省韶关市 联通
61.242.20.0   广东省珠海市 联通
61.242.24.0   广东省 联通
61.242.31.0   广东省东莞市 联通
61.242.32.0   广东省广州市 联通
61.242.64.0   广东省深圳市 联通
61.242.71.0   广东省梅州市 联通
61.242.76.0   广东省惠州市 联通
61.242.82.0   广东省佛山市 联通
61.242.84.0   广东省汕头市 联通
61.242.85.0   广东省珠海市 联通
61.242.86.0   广东省中山市 联通
61.242.88.0   广东省珠海市 联通
61.242.96.0   广东省广州市 联通
61.242.128.0   江西省 联通
61.242.160.0   湖北省武汉市 联通
61.242.165.0   湖北省 联通
61.242.166.0   湖北省荆州市 联通
61.242.168.0   湖北省武汉市 联通
61.242.170.0   湖北省 联通
61.242.172.0   湖北省武汉市 联通
61.242.188.0   湖北省天门市 联通
61.242.192.0   河南省濮阳市 联通
61.242.193.0   河南省新乡市 联通
61.242.194.0   河南省漯河市 联通
61.242.196.0   河南省三门峡市 联通
61.242.197.0   河南省洛阳市 联通
61.242.198.0   河南省鹤壁市 联通
61.242.200.0   河南省焦作市 联通
61.242.202.0   河南省三门峡市 联通
61.242.204.0   河南省周口市 联通
61.242.206.0   河南省许昌市 联通
61.242.208.0   河南省驻马店市 联通
61.242.210.0   河南省安阳市 联通
61.242.212.0   河南省郑州市 联通
61.242.213.0   河南省洛阳市 联通
61.242.214.0   河南省新乡市 联通
61.242.215.0   河南省郑州市 联通
61.242.219.0   河南省南阳市 联通
61.242.220.0   河南省 联通
61.242.221.0   河南省濮阳市 联通
61.242.222.0   河南省 联通
61.242.224.0   重庆市 联通
61.243.0.0   四川省南充市 联通
61.243.2.0   四川省凉山州 联通
61.243.4.0   四川省雅安市 联通
61.243.6.0   四川省攀枝花市 联通
61.243.8.0   四川省达州市 联通
61.243.10.0   四川省遂宁市 联通
61.243.12.0   四川省眉山市 联通
61.243.14.0   四川省广元市 联通
61.243.15.0   四川省达州市 联通
61.243.16.0   四川省资阳市 联通
61.243.17.0   四川省内江市 联通
61.243.18.0   四川省巴中市 联通
61.243.20.0   四川省广安市 联通
61.243.22.0   四川省 联通
61.243.32.0   贵州省遵义市 联通
61.243.33.0   贵州省六盘水市 联通
61.243.34.0   贵州省遵义市 联通
61.243.35.0   贵州省六盘水市 联通
61.243.37.0   贵州省遵义市 联通
61.243.38.0   贵州省贵阳市 联通
61.243.39.0   贵州省安顺市 联通
61.243.40.0   贵州省贵阳市 联通
61.243.45.0   贵州省遵义市 联通
61.243.48.0   云南省 联通
61.243.53.0   云南省保山市 联通
61.243.61.0   云南省 联通
61.243.64.0   新疆自治区乌鲁木齐市 联通
61.243.67.0   新疆自治区克拉玛依市 联通
61.243.73.0   新疆自治区伊犁州 联通
61.243.74.0   新疆自治区乌鲁木齐市 联通
61.243.75.0   新疆自治区喀什地区 联通
61.243.76.0   新疆自治区巴音郭楞州 联通
61.243.79.0   新疆自治区喀什地区 联通
61.243.81.0   新疆自治区乌鲁木齐市 联通
61.243.82.0   新疆自治区塔城地区 联通
61.243.83.0   新疆自治区乌鲁木齐市 联通
61.243.84.0   新疆自治区和田地区 联通
61.243.85.0   新疆自治区 联通
61.243.94.0   新疆自治区昌吉州 联通
61.243.95.0   新疆自治区乌鲁木齐市 联通
61.243.96.0   陕西省咸阳市 联通
61.243.97.0   陕西省西安市 联通
61.243.98.0   陕西省汉中市 联通
61.243.99.0   陕西省宝鸡市 联通
61.243.100.0   陕西省咸阳市 联通
61.243.102.0   陕西省宝鸡市 联通
61.243.103.0   陕西省西安市 联通
61.243.112.0   宁夏自治区银川市 联通
61.243.114.0   宁夏自治区中卫市 联通
61.243.115.0   宁夏自治区吴忠市 联通
61.243.116.0   宁夏自治区银川市 联通
61.243.118.0   宁夏自治区固原市 联通
61.243.119.0   宁夏自治区 联通
61.243.120.0   青海省海西州 联通
61.243.124.0   海南省海口市 联通
61.243.128.0   辽宁省沈阳市 联通
61.243.143.0   辽宁省大连市 联通
61.243.150.0   辽宁省沈阳市 联通
61.243.153.0   辽宁省鞍山市 联通
61.243.155.0   辽宁省 联通
61.243.157.0   辽宁省本溪市 联通
61.243.160.0   辽宁省阜新市 联通
61.243.164.0   辽宁省营口市 联通
61.243.168.0   辽宁省辽阳市 联通
61.243.172.0   辽宁省铁岭市 联通
61.243.176.0   辽宁省朝阳市 联通
61.243.180.0   辽宁省葫芦岛市 联通
61.243.184.0   辽宁省盘锦市 联通
61.243.188.0   辽宁省本溪市 联通
61.243.190.0   辽宁省朝阳市 联通
61.243.192.0   黑龙江省绥化市 联通
61.243.194.0   黑龙江省黑河市 联通
61.243.196.0   黑龙江省牡丹江市 联通
61.243.197.0   黑龙江省伊春市 联通
61.243.198.0   黑龙江省大兴安岭地区 联通
61.243.200.0   黑龙江省鸡西市 联通
61.243.202.0   黑龙江省鹤岗市 联通
61.243.204.0   黑龙江省七台河市 联通
61.243.206.0   黑龙江省双鸭山市 联通
61.243.208.0   黑龙江省哈尔滨市 联通
61.243.212.0   黑龙江省齐齐哈尔市 联通
61.243.214.0   黑龙江省佳木斯市 联通
61.243.217.0   黑龙江省大庆市 联通
61.243.219.0   黑龙江省哈尔滨市 联通
61.243.224.0   吉林省长春市 联通
61.243.229.0   吉林省吉林市 联通
61.243.230.0   吉林省延边州 联通
61.243.231.0   吉林省 联通
61.243.232.0   吉林省吉林市 联通
61.243.237.0   吉林省延边州 联通
61.243.240.0   吉林省四平市 联通
61.243.243.0   吉林省通化市 联通
61.243.245.0   吉林省长春市 联通
61.243.246.0   吉林省松原市 联通
61.243.249.0   吉林省辽源市 联通
61.243.251.0   吉林省 联通
61.243.252.0   吉林省白城市 联通
61.243.254.0   吉林省白山市 联通
61.244.0.0   香港特别行政区 香港宽频
