110.56.0.0 北京市西城区北方星辰信息技术有限责任公司 铁通
110.64.0.0 广东省广州市广东食品药品职业学院 教育网
110.64.24.0 广东省江门市江门职业技术学院 教育网
110.64.28.0 广东省广州市广州海钛信息技术有限公司 教育网
110.64.29.0 广东省广州市广州恒汇网络通信有限公司 教育网
110.64.30.0 广东省广州市广州华立科技职业学院 教育网
110.64.32.0 广东省广州市广东女子职业技术学院 教育网
110.64.48.0 广东省广州市民办南华工商学院 教育网
110.64.64.0 广东省广州市华南理工大学（大学城校区） 教育网
110.64.96.0 广东省广州市广东交通职业技术学院 教育网
110.64.128.0 广东省广州市广东农工商职业技术学院 教育网
110.64.144.0 广东省广州市广州珠江数码集团有限公司 教育网
110.64.148.0 广东省珠海市珠海城市职业技术学院 教育网
110.64.150.0 广东省广州市广东盈信信息投资有限公司 教育网
110.64.151.0 广东省广州市广州科技贸易职业学院 教育网
110.64.152.0 广东省惠州市惠州城市职业学院 教育网
110.64.153.0 广东省广州市南京华慧软件技术有限公司 教育网
110.64.154.0 中国 教育网
110.64.160.0 广东省广州市华南师范大学 教育网
110.64.176.0 广东省东莞市东莞职业技术学院 教育网
110.64.200.0 广东省广州市广州大学华软软件学院 教育网
110.64.204.0 广东省东莞市东莞南博职业技术学院 教育网
110.64.206.0 广东省佛山市南海东软信息技术学院 教育网
110.64.207.0 广东省广州市广州市交通高级技工学校 教育网
110.64.208.0 广东省广州市广东农工商职业技术学院 教育网
110.64.224.0 广东省广州市暨南大学 教育网
110.65.0.0 广东省广州市华南理工大学（大学城校区） 教育网
110.65.64.0 广东省广州市广东农工商职业技术学院 教育网
110.65.72.0 广东省广州市 教育网
110.65.80.0 广东省广州市华南师范大学 教育网
110.65.96.0 广东省广州市广东技术师范学院 教育网
110.65.112.0 广东省广州市广东工业大学大学城校区 教育网
110.65.128.0 广东省深圳市龙岗区南湾学校 教育网
110.65.132.0 广东省深圳市龙岗区五园小学 教育网
110.65.133.0 广东省深圳市清林小学 教育网
110.65.134.0 广东省深圳市龙岗区龙园意境小学 教育网
110.65.136.0 广东省深圳市龙岗区中小学社会实践基地 教育网
110.65.138.0 广东省深圳市光明新区公共事业局教育科 教育网
110.65.139.0 广东省深圳市招商银行股份有限公司 教育网
110.65.140.0 广东省深圳市明宣科技有限公司 教育网
110.65.144.0 广东省深圳市龙岗区阳光小学 教育网
110.65.146.0 广东省深圳市深圳天威视讯股份有限公司 教育网
110.65.147.0 广东省深圳市南方科技大学 教育网
110.65.148.0 广东省深圳市第二外国语学校 教育网
110.65.152.0 广东省深圳市赛尔网络深圳分公司 教育网
110.65.156.0 广东省深圳市光明新区公共事业局 教育网
110.65.157.0 广东省广州市 教育网
110.65.192.0 广东省广州市暨南大学 教育网
110.65.224.0 广东省广州市 教育网
110.65.240.0 海南省五指山市琼州学院 教育网
110.66.0.0 日本 NULL
