58.30.0.0 北京市海淀区北京歌华有线电视网络股份有限公司 BGP多线
58.32.0.0 上海市黄浦/卢湾区 电信
58.32.20.0 上海市普陀/闸北区 电信
58.32.40.0 上海市黄浦区 电信
58.32.60.0 上海市徐汇区 电信
58.32.80.0 上海市浦东新区 电信
58.32.100.0 上海市上海市 电信
58.33.0.0 上海市浦东新区 电信
58.34.0.0 上海市长宁/普陀区 电信
58.35.0.0 上海市黄浦/卢湾区 电信
58.36.0.0 上海市上海市 电信
58.37.0.0 上海市长宁/普陀区 电信
58.37.96.0 上海市闸北区 电信
58.37.128.0 上海市宝山区 电信
58.37.160.0 上海市长宁/普陀区 电信
58.38.0.0 上海市闵行区 电信
58.39.0.0 上海市松江区 电信
58.39.128.0 上海市嘉定区 电信
58.40.64.0 上海市南汇区 电信
58.40.128.0 上海市上海市 电信
58.40.192.0 上海市奉贤区 电信
58.41.0.0 上海市浦东新区 电信
58.41.32.0 上海市徐汇区 电信
58.41.40.0 上海市闸北区 电信
58.41.56.0 上海市浦东新区 电信
58.41.60.0 上海市宝山区 电信
58.41.72.0 上海市闸北区 电信
58.41.76.0 上海市闵行区 电信
58.41.92.0 上海市杨浦区 电信
58.41.100.0 上海市闸北区 电信
58.41.108.0 上海市黄浦区 电信
58.41.116.0 上海市杨浦区 电信
58.41.124.0 上海市普陀区 电信
58.41.192.0 上海市浦东新区 电信
58.41.196.0 上海市杨浦区 电信
58.41.200.0 上海市黄浦区 电信
58.41.204.0 上海市浦东新区 电信
58.41.208.0 上海市闵行区 电信
58.41.212.0 上海市徐汇区 电信
58.41.216.0 上海市闸北区 电信
58.41.220.0 上海市普陀区 电信
58.41.224.0 上海市宝山区 电信
58.41.228.0 上海市上海市 电信
58.41.240.0 上海市浦东新区 电信
58.41.244.0 上海市杨浦区 电信
58.41.248.0 上海市闸北区 电信
58.41.252.0 上海市普陀区 电信
58.42.0.0 贵州省遵义市 电信
58.42.64.0 贵州省黔南布依族苗族自治州 电信
58.42.96.0 贵州省黔东南苗族侗族自治州 电信
58.42.128.0 贵州省铜仁市 电信
58.42.160.0 贵州省毕节市 电信
58.42.192.0 贵州省六盘水市 电信
58.42.224.0 贵州省贵阳市 电信
58.43.0.0 重庆市重庆市 电信
58.44.0.0 湖南省岳阳市 电信
58.44.128.0 湖南省湘西土家族苗族自治州 电信
58.45.0.0 湖南省株洲市 电信
58.45.128.0 湖南省湘潭市 电信
58.46.0.0 湖南省娄底市 电信
58.46.128.0 湖南省怀化市 电信
58.47.0.0 湖南省常德市 电信
58.47.128.0 湖南省益阳市 电信
58.48.0.0 湖北省武汉市 电信
58.50.0.0 湖北省荆州市 电信
58.50.128.0 湖北省宜昌市 电信
58.50.224.0 湖北省随州市 电信
58.51.0.0 湖北省襄阳市 电信
58.51.96.0 湖北省黄冈市 电信
58.51.144.0 湖北省孝感市 电信
58.52.203.0 湖北省恩施土家族苗族自治州 电信
58.53.0.0 湖北省鄂州市 电信
58.53.48.0 湖北省仙桃市 电信
58.53.96.0 湖北省天门市 电信
58.53.120.0 湖北省潜江市 电信
58.53.144.0 湖北省十堰市 电信
58.53.168.0 湖北省 电信
58.53.184.0 湖北省武汉市 电信
58.53.190.0 湖北省天门市 电信
58.53.192.0 湖北省武汉市长青路机房 电信
58.53.200.0 湖北省武汉市 电信
58.53.208.0 湖北省武汉市电信机房 电信
58.53.216.0 湖北省武汉市 电信
58.53.224.0 湖北省 电信
58.54.0.0 湖北省黄石市 电信
58.54.128.0 湖北省荆州市 电信
58.55.0.0 湖北省孝感市 电信
58.55.128.0 湖北省鄂州市 电信
58.56.0.0 山东省济南市 电信
58.56.128.0 山东省青岛市 电信
58.56.192.0 山东省泰安市 电信
58.56.224.0 山东省德州市 电信
58.57.0.0 山东省烟台市 电信
58.57.32.0 山东省临沂市 电信
58.57.64.0 山东省潍坊市 电信
58.57.96.0 山东省淄博市 电信
58.57.128.0 山东省东营市 电信
58.57.160.0 山东省聊城市 电信
58.57.192.0 山东省菏泽市 电信
58.57.224.0 山东省枣庄市 电信
58.58.0.0 山东省滨州市 电信
58.58.16.0 山东省济南市 电信
58.58.32.0 山东省青岛市 电信
58.58.48.0 山东省济宁市 电信
58.58.64.0 山东省潍坊市 电信
58.58.80.0 山东省烟台市 电信
58.58.96.0 山东省淄博市 电信
58.58.112.0 山东省泰安市 电信
58.58.128.0 山东省德州市 电信
58.58.144.0 山东省菏泽市 电信
58.58.160.0 山东省东营市 电信
58.58.176.0 山东省日照市 电信
58.58.192.0 山东省临沂市 电信
58.58.208.0 山东省威海市 电信
58.58.224.0 山东省聊城市 电信
58.58.240.0 山东省枣庄市 电信
58.59.0.0 山东省济南市 电信
58.59.32.0 山东省日照市 电信
58.59.64.0 山东省威海市 电信
58.59.96.0 山东省滨州市 电信
58.59.128.0 广西壮族自治区柳州市 电信
58.59.132.0 广西壮族自治区南宁市 电信
58.60.0.0 广东省深圳市 电信
58.61.200.0 广东省广州市 电信
58.64.0.0 泰国 NULL
