111.112.0.0   宁夏回族自治区银川市  电信
111.112.128.0   宁夏回族自治区石嘴山市  电信
111.112.160.0   宁夏回族自治区吴忠市  电信
111.112.192.0   宁夏回族自治区固原市  电信
111.112.224.0   宁夏回族自治区中卫市  电信
111.113.0.0   宁夏回族自治区银川市  电信
111.114.0.0   陕西省西安市 陕西科技大学 教育网
111.114.64.0   陕西省西安市 陕西警官职业学院 教育网
111.114.68.0   陕西省西安市 陕西工商职业学院 教育网
111.114.72.0   陕西省咸阳市 西藏民族学院 教育网
111.114.96.0   陕西省西安市 西安体育学院 教育网
111.114.112.0   陕西省西安市 西北大学 教育网
111.114.192.0   陕西省西安市 西安翻译学院 教育网
111.114.208.0   陕西省西安市  教育网
111.115.0.0   甘肃省兰州市 西北师范大学 教育网
111.115.64.0   新疆维吾尔自治区乌鲁木齐市 新疆大学 教育网
111.115.80.0   新疆维吾尔自治区乌鲁木齐市 新疆兵团警官高等专科学校 教育网
111.115.96.0   新疆维吾尔自治区乌鲁木齐市 新疆师范大学 教育网
111.115.120.0   新疆维吾尔自治区乌鲁木齐市 昌吉学院 教育网
111.115.128.0   甘肃省兰州市 兰州城市学院 教育网
111.115.144.0   甘肃省天水市 天水师范学院 教育网
111.115.160.0   甘肃省兰州市 甘肃联合大学 教育网
111.115.176.0   甘肃省兰州市 甘肃政法学院 教育网
111.115.192.0   青海省西宁市 青海大学 教育网
111.115.208.0   青海省西宁市 青海民族大学 教育网
111.115.224.0   陕西省西安市  教育网
111.116.0.0   吉林省长春市 长春工业大学 教育网
111.116.64.0   吉林省长春市 东北师范大学人文学院 教育网
111.116.96.0   吉林省长春市 吉林大学农学部 教育网
111.116.112.0   吉林省长春市 吉林工商学院 教育网
111.116.128.0   吉林省长春市 长春理工大学 教育网
111.117.0.0   黑龙江省哈尔滨市 哈尔滨金融高等专科学校 教育网
111.117.24.0   黑龙江省哈尔滨市 哈尔滨商业大学 教育网
111.117.48.0   黑龙江省哈尔滨市 哈尔滨工程大学 教育网
111.117.64.0   辽宁省大连市 大连医科大学中山学院 教育网
111.117.80.0   辽宁省大连市 辽宁师范大学 教育网
111.117.96.0   辽宁省大连市 大连理工大学 教育网
111.117.128.0   辽宁省沈阳市 沈阳建筑大学 教育网
111.117.160.0   辽宁省沈阳市 辽宁工程技术大学葫芦岛校区 教育网
111.117.176.0   辽宁省沈阳市 沈阳化工大学 教育网
111.117.192.0   吉林省长春市 吉林大学农学部 教育网
111.118.0.0   韩国 
