58.154.0.0   辽宁省沈阳市 沈阳建筑大学 教育网
58.154.16.0   辽宁省沈阳市 沈阳航空工业学院 教育网
58.154.32.0   辽宁省沈阳市 教育网东北地区中心 教育网
58.154.34.0   辽宁省沈阳市 沈阳音乐学院 教育网
58.154.35.0   辽宁省盘锦市 辽河石油职业技术学院 教育网
58.154.36.0   辽宁省锦州市 锦州城市节点 教育网
58.154.37.0   辽宁省沈阳市 辽宁广播电视大学 教育网
58.154.38.0   辽宁省沈阳市 东网科技有限公司 教育网
58.154.39.0   辽宁省  教育网
58.154.40.0   辽宁省沈阳市 中国刑事警察学院 教育网
58.154.48.0   辽宁省沈阳市 沈阳师范大学 教育网
58.154.64.0   辽宁省  教育网
58.154.128.0   辽宁省大连市 辽宁警官高等专科学校 教育网
58.154.144.0   辽宁省大连市 大连海事大学 教育网
58.154.160.0   辽宁省沈阳市 东北大学 教育网
58.155.0.0   黑龙江省哈尔滨市 黑龙江中医药大学 教育网
58.155.32.0   黑龙江省大庆市 大庆石油学院 教育网
58.155.48.0   黑龙江省哈尔滨市 黑龙江工程学院 教育网
58.155.64.0   黑龙江省哈尔滨市 东北农业大学 教育网
58.155.96.0   黑龙江省哈尔滨市 哈尔滨工程大学 教育网
58.155.112.0   黑龙江省牡丹江市 黑龙江幼儿师范高等专科学校 教育网
58.155.116.0   黑龙江省哈尔滨市 哈尔滨电力职业技术学院 教育网
58.155.120.0   黑龙江省哈尔滨市 哈尔滨金融高等专科学校 教育网
58.155.124.0   黑龙江省哈尔滨市 黑龙江农业工程职业学院 教育网
58.155.128.0   吉林省长春市 长春师范学院 教育网
58.155.144.0   吉林省长春市 吉林建筑工程学院城建学院 教育网
58.155.148.0   吉林省长春市 长春理工大学光电信息学院 教育网
58.155.152.0   吉林省四平市 吉林师范大学博达学院 教育网
58.155.156.0   吉林省长春市 长春税务学院信息经济学院 教育网
58.155.160.0   吉林省长春市 长春中医药大学 教育网
58.155.168.0   吉林省吉林市 吉林农业科技学院 教育网
58.155.172.0   吉林省白城市 白城医学高等专科学校 教育网
58.155.176.0   吉林省长春市 吉林建筑工程学院 教育网
58.155.192.0   辽宁省大连市 医科大学 教育网
58.155.208.0   辽宁省大连市 理工大学 教育网
58.155.224.0   辽宁省大连市 东软信息技术学院 教育网
58.155.240.0   辽宁省大连市 医科大学 教育网
58.156.0.0   日本 
