202.95.252.0 上海市上海市教育网网关 教育网
202.96.0.0 北京市北京市 联通
202.96.64.0 辽宁省沈阳市 联通
202.96.66.0 辽宁省盘锦市 联通
202.96.67.0 辽宁省锦州市 联通
202.96.69.0 辽宁省大连市 联通
202.96.72.0 辽宁省本溪市 联通
202.96.72.32 辽宁省大连市 联通
202.96.72.96 辽宁省阜新市 联通
202.96.72.128 辽宁省沈阳市 联通
202.96.73.0 辽宁省本溪市 联通
202.96.74.0 辽宁省沈阳市 联通
202.96.76.0 辽宁省大连市 联通
202.96.78.0 辽宁省沈阳市 联通
202.96.80.0 辽宁省盘锦市辽河油田通信 联通
202.96.80.64 辽宁省锦州市华宇宽带 联通
202.96.80.128 辽宁省沈阳市 联通
202.96.80.144 辽宁省大连市中国农业银行大连支行 联通
202.96.80.160 辽宁省沈阳市 联通
202.96.80.192 辽宁省大连市 联通
202.96.80.200 辽宁省丹东市 联通
202.96.80.208 辽宁省锦州市 联通
202.96.80.224 辽宁省沈阳市 联通
202.96.81.0 辽宁省辽阳市 联通
202.96.82.0 辽宁省沈阳市 联通
202.96.84.0 辽宁省锦州市 联通
202.96.85.0 辽宁省鞍山市 联通
202.96.86.0 辽宁省抚顺市 联通
202.96.87.0 辽宁省辽阳市 联通
202.96.88.0 辽宁省铁岭市 联通
202.96.89.0 辽宁省本溪市 联通
202.96.90.0 辽宁省营口市 联通
202.96.91.0 辽宁省阜新市 联通
202.96.92.0 辽宁省朝阳市 联通
202.96.93.0 辽宁省葫芦岛市 联通
202.96.94.0 辽宁省丹东市 联通
202.96.95.0 辽宁省盘锦市 联通
202.96.96.0 浙江省杭州市 电信
202.96.103.0 浙江省金华市 电信
202.96.104.0 浙江省宁波市 电信
202.96.106.0 浙江省温州市 电信
202.96.107.0 浙江省绍兴市 电信
202.96.108.0 浙江省金华市 电信
202.96.109.0 浙江省台州市 电信
202.96.110.0 浙江省嘉兴市 电信
202.96.111.0 浙江省湖州市 电信
202.96.112.0 浙江省宁波市 电信
202.96.113.0 浙江省衢州市 电信
202.96.114.0 浙江省丽水市 电信
202.96.115.0 浙江省舟山市 电信
202.96.116.0 浙江省温州市 电信
202.96.117.0 浙江省杭州市 电信
202.96.119.0 浙江省金华市 电信
202.96.120.0 浙江省温州市 电信
202.96.122.0 浙江省杭州市 电信
