210.14.112.0 北京市北京市中国科学技术协会信息中心 科技网
210.14.128.0 北京市顺义区北京数据家科技有限公司 BGP多线
210.14.160.0 中国 联通
210.14.161.0 江苏省南京市 联通
210.14.162.0 中国 联通
210.14.165.0 云南省红河哈尼族彝族自治州 联通
210.14.166.0 中国 联通
210.14.170.0 湖南省长沙市 联通
210.14.176.0 福建省厦门市 联通
210.14.180.0 广东省湛江市 联通
210.14.181.0 中国 联通
210.14.184.0 广西壮族自治区南宁市 联通
210.14.185.0 广西壮族自治区梧州市 联通
210.14.186.0 海南省海口市 联通
210.14.187.0 广东省湛江市 联通
210.14.188.0 云南省昆明市 联通
210.14.189.0 云南省红河哈尼族彝族自治州 联通
210.14.190.0 贵州省贵阳市 联通
210.14.191.0 广东省肇庆市 联通
210.14.192.0 广东省广州市 联通
210.14.198.0 云南省昆明市 联通
210.14.199.0 海南省海口市 联通
210.14.200.0 广东省广州市 联通
210.14.201.0 广东省珠海市 联通
210.14.202.0 云南省昆明市昆明有线电视台 联通
210.14.206.0 广西壮族自治区桂林市 联通
210.14.208.0 广东省肇庆市 联通
210.14.209.0 广东省珠海市 联通
210.14.212.0 广东省汕头市 联通
210.14.213.0 广东省佛山市 联通
210.14.216.0 云南省红河哈尼族彝族自治州 联通
210.14.217.0 广东省广州市 联通
210.14.218.0 广东省江门市 联通
210.14.219.0 广东省珠海市 联通
210.14.220.0 广东省广州市 联通
210.14.232.0 广东省深圳市 联通
210.14.234.0 广西壮族自治区南宁市 联通
210.14.235.0 广东省珠海市 联通
210.14.236.0 广东省广州市 联通
210.14.238.0 广东省湛江市 联通
210.14.239.0 广东省东莞市 联通
210.14.240.0 江苏省扬州市 联通
210.14.244.0 江苏省泰州市 联通
210.14.246.0 江苏省南京市广电网全省共用出口 联通
210.14.247.0 贵州省贵阳市 联通
210.14.248.0 广东省东莞市 联通
210.14.249.0 云南省昆明市 联通
210.14.250.0 贵州省贵阳市 联通
210.14.251.0 广西壮族自治区桂林市 联通
210.14.252.0 广东省珠海市 联通
210.14.253.0 广东省佛山市 联通
210.14.254.0 广东省汕头市 联通
210.14.255.0 海南省海口市 联通
210.15.0.0 浙江省宁波市 联通
210.15.4.0 上海市浦东新区 联通
210.15.5.0 江苏省常州市 联通
210.15.6.0 江苏省苏州市 联通
210.15.7.0 上海市上海市 联通
210.15.8.0 浙江省杭州市 联通
210.15.10.0 江苏省南京市 联通
210.15.12.0 上海市上海市 联通
210.15.13.0 江西省南昌市 联通
210.15.14.0 上海市上海市 联通
210.15.15.0 江苏省常州市 联通
210.15.16.0 江苏省苏州市富士康电子工业发展（昆山）有限公司 联通
210.15.17.0 浙江省温州市 联通
210.15.18.0 江苏省苏州市 联通
210.15.19.0 浙江省杭州市 联通
210.15.20.0 江苏省无锡市 联通
210.15.24.0 福建省福州市 联通
210.15.25.0 浙江省杭州市 联通
210.15.26.0 福建省泉州市 联通
210.15.27.0 浙江省温州市 联通
210.15.28.0 安徽省合肥市 联通
210.15.29.0 江西省南昌市 联通
210.15.30.0 湖南省长沙市 联通
210.15.31.0 江苏省扬州市 联通
210.15.32.0 上海市上海市 联通
210.15.33.0 江苏省苏州市 联通
210.15.35.0 福建省厦门市 联通
210.15.36.0 福建省南平市 联通
210.15.37.0 福建省福州市 联通
210.15.38.0 上海市上海市 联通
210.15.39.0 福建省 联通
210.15.40.0 江苏省苏州市 联通
210.15.42.0 江西省赣州市 联通
210.15.43.0 江苏省镇江市 联通
210.15.44.0 浙江省温州市 联通
210.15.45.0 江苏省无锡市 联通
210.15.46.0 福建省厦门市 联通
210.15.47.0 浙江省嘉兴市 联通
210.15.48.0 江西省南昌市 联通
210.15.49.0 江苏省徐州市 联通
210.15.50.0 江苏省 联通
210.15.51.0 上海市长宁区 联通
210.15.52.0 江苏省苏州市 联通
210.15.53.0 江西省南昌市 联通
210.15.54.0 江苏省南京市 联通
210.15.56.0 浙江省嘉兴市 联通
210.15.57.0 浙江省湖州市 联通
210.15.58.0 浙江省宁波市 联通
210.15.59.0 江西省南昌市 联通
210.15.60.0 江苏省镇江市 联通
210.15.61.0 浙江省绍兴市 联通
210.15.62.0 安徽省合肥市 联通
210.15.63.0 福建省泉州市 联通
210.15.64.0 四川省成都市 联通
210.15.128.0 中国 联通
210.15.192.0 澳大利亚 NULL
