110.56.0.0   北京市西城区 北方星辰信息技术有限责任公司 铁通
110.64.0.0   广东省广州市 广东食品药品职业学院 教育网
110.64.24.0   广东省江门市 江门职业技术学院 教育网
110.64.28.0   广东省广州市 广州海钛信息技术有限公司 教育网
110.64.29.0   广东省广州市 广州恒汇网络通信有限公司 教育网
110.64.30.0   广东省广州市 广州华立科技职业学院 教育网
110.64.32.0   广东省广州市 广东女子职业技术学院 教育网
110.64.48.0   广东省广州市 民办南华工商学院 教育网
110.64.64.0   广东省广州市 华南理工大学（大学城校区） 教育网
110.64.96.0   广东省广州市 广东交通职业技术学院 教育网
110.64.128.0   广东省广州市 广东农工商职业技术学院 教育网
110.64.144.0   广东省广州市 广州珠江数码集团有限公司 教育网
110.64.148.0   广东省珠海市 珠海城市职业技术学院 教育网
110.64.150.0   广东省广州市 广东盈信信息投资有限公司 教育网
110.64.151.0   广东省广州市 广州科技贸易职业学院 教育网
110.64.152.0   广东省惠州市 惠州城市职业学院 教育网
110.64.153.0   广东省广州市 南京华慧软件技术有限公司 教育网
110.64.154.0   中国  教育网
110.64.160.0   广东省广州市 华南师范大学 教育网
110.64.176.0   广东省东莞市 东莞职业技术学院 教育网
110.64.200.0   广东省广州市 广州大学华软软件学院 教育网
110.64.204.0   广东省东莞市 东莞南博职业技术学院 教育网
110.64.206.0   广东省佛山市 南海东软信息技术学院 教育网
110.64.207.0   广东省广州市 广州市交通高级技工学校 教育网
110.64.208.0   广东省广州市 广东农工商职业技术学院 教育网
110.64.224.0   广东省广州市 暨南大学 教育网
110.65.0.0   广东省广州市 华南理工大学（大学城校区） 教育网
110.65.64.0   广东省广州市 广东农工商职业技术学院 教育网
110.65.72.0   广东省广州市  教育网
110.65.80.0   广东省广州市 华南师范大学 教育网
110.65.96.0   广东省广州市 广东技术师范学院 教育网
110.65.112.0   广东省广州市 广东工业大学大学城校区 教育网
110.65.128.0   广东省深圳市 龙岗区南湾学校 教育网
110.65.132.0   广东省深圳市 龙岗区五园小学 教育网
110.65.133.0   广东省深圳市 清林小学 教育网
110.65.134.0   广东省深圳市 龙岗区龙园意境小学 教育网
110.65.136.0   广东省深圳市 龙岗区中小学社会实践基地 教育网
110.65.138.0   广东省深圳市 光明新区公共事业局教育科 教育网
110.65.139.0   广东省深圳市 招商银行股份有限公司 教育网
110.65.140.0   广东省深圳市 明宣科技有限公司 教育网
110.65.144.0   广东省深圳市 龙岗区阳光小学 教育网
110.65.146.0   广东省深圳市 深圳天威视讯股份有限公司 教育网
110.65.147.0   广东省深圳市 南方科技大学 教育网
110.65.148.0   广东省深圳市 第二外国语学校 教育网
110.65.152.0   广东省深圳市 赛尔网络深圳分公司 教育网
110.65.156.0   广东省深圳市 光明新区公共事业局 教育网
110.65.157.0   广东省广州市  教育网
110.65.192.0   广东省广州市 暨南大学 教育网
