27.8.0.0   中国重庆市重庆市   联通
27.16.0.0   中国湖北省武汉市   电信
27.20.0.0   中国湖北省荆州市   电信
27.21.0.0   中国湖北省宜昌市   电信
27.22.0.0   中国湖北省襄樊市   电信
27.23.0.0   中国湖北省孝感市   电信
27.23.128.0   中国湖北省黄冈市   电信
27.24.0.0   中国湖北省黄石市   电信
27.24.128.0   中国湖北省咸宁市   电信
27.24.224.0   中国湖北省恩施土家族苗族自治州   电信
27.25.0.0   中国湖北省荆门市   电信
27.25.128.0   中国湖北省十堰市   电信
27.25.192.0   中国湖北省鄂州市   电信
27.26.0.0   中国湖北省荆州市   电信
27.27.0.0   中国湖北省襄樊市   电信
27.28.0.0   中国湖北省宜昌市   电信
27.28.128.0   中国湖北省随州市   电信
27.28.160.0   中国湖北省咸宁市   电信
27.28.192.0   中国湖北省黄石市   电信
27.28.224.0   中国湖北省十堰市   电信
27.28.252.0   中国湖北省省直辖县级行政区划   电信
27.29.0.0   中国湖北省黄冈市   电信
27.29.64.0   中国湖北省荆州市   电信
27.29.128.0   中国湖北省襄樊市   电信
27.29.192.0   中国湖北省孝感市   电信
27.30.0.0   中国湖北省咸宁市   电信
27.30.32.0   中国湖北省黄石市   电信
27.30.64.0   中国湖北省十堰市   电信
27.30.96.0   中国湖北省恩施土家族苗族自治州   电信
27.30.160.0   中国湖北省武汉市   电信
27.31.0.0   中国湖北省宜昌市   电信
27.31.32.0   中国湖北省襄樊市   电信
27.31.64.0   中国湖北省黄冈市   电信
27.31.96.0   中国湖北省荆州市   电信
27.31.128.0   中国湖北省黄石市   电信
27.31.144.0   中国湖北省荆门市   电信
27.31.160.0   中国湖北省恩施土家族苗族自治州   电信
27.31.176.0   中国湖北省咸宁市   电信
27.31.192.0   中国湖北省武汉市   电信
27.31.200.0   中国湖北省十堰市   电信
27.31.208.0   中国湖北省孝感市   电信
27.31.224.0   中国湖北省鄂州市   电信
27.31.232.0   中国湖北省随州市   电信
27.31.240.0   中国湖北省武汉市   电信
